Year,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Net,Straw,Mustard,Saffron
1209,0.29,0.21,0.1,0.22,,,,,,,,
1210,,,,,,,,,,,,
1211,0.36,0.24,0.12,0.35,,,,,,,,
1212,0.28,0.18,0.11,0.25,,,,,,,,
1213,,,,,,,,,,,,
1214,0.24,0.16,0.12,0.2,,,,,,,,
1215,,,,,,,,,,,,
1216,0.3,0.18,0.12,0.33,,,,,,,,
1217,0.46,,,,,,,,,,,
1218,0.52,0.38,0.18,0.43,,,,,,,,
1219,0.52,0.34,0.18,0.4,,,,,,,,
1220,0.39,0.24,0.14,0.34,,,,,,,,
1221,0.54,0.33,0.16,0.39,,,,,,,,
1222,,,,,,,,,,,,
1223,0.22,,,,,,,,,,,
1224,0.29,0.17,0.1,0.22,,,,,,,,
1225,0.61,0.39,0.18,0.37,,,,,,,,
1226,0.5,0.36,0.19,0.72,,,,,,,,
1227,0.58,0.36,0.2,0.53,,,,,,,,
1228,,,,,,,,,,,,
1229,,,,,,,,,,,,
1230,,,,,,,,,,,,
1231,0.46,,,,,,,,,,,
1232,0.43,0.32,0.18,0.46,,,,,,,,
1233,0.38,0.27,0.18,0.4,,,,,,,,
1234,,,,,,,,,,,,
1235,0.38,,,,,,,,,,,
1236,0.38,0.21,0.16,0.3,,,,,,,,
1237,0.42,0.3,0.22,0.39,,,,,,,,
1238,,,,,,,,,,,,
1239,,,,,,,,,,,,
1240,,,,,,,,,,,,
1241,,,,,,,,,,,,
1242,,,,,,,,,,,,
1243,,,,,,,,,,,,
1244,,,,,,,,,,,,
1245,0.25,0.16,0.12,0.25,,,,,,,,
1246,0.35,0.22,0.16,0.29,,,,,,,,
1247,0.65,0.42,0.25,0.62,,,,,,,,
1248,0.62,0.47,0.26,0.69,,,,,,,,
1249,0.34,0.22,0.15,0.27,,,,,,,,
1250,,,,,,,,,,,,
1251,0.35,0.33,0.46,,,,,,,,,
1252,0.36,0.24,0.19,0.33,,,,,,,,
1253,0.54,0.43,0.27,0.6,,,,,,,,
1254,0.35,0.21,0.14,0.29,,,,,,,,
1255,0.31,0.19,0.14,0.29,,,,,,,,
1256,,,,,,,,,,,,
1257,0.75,0.52,0.26,0.72,,,,,,,,
1258,0.85,0.54,0.29,0.75,,,,,,,,
1259,,,,,,,,,,,,
1260,0.45,,,,,,,,,,,
1261,0.47,,,,,,,,,,,
1262,0.51,,,,,,,,,,,
1263,0.44,0.32,0.22,0.44,,,,,,,,
1264,0.42,,,,,,,,,,,
1265,0.47,0.37,0.2,0.44,11.09,,,,,,,
1266,0.46,0.31,0.17,0.36,,,,,,,,
1267,0.52,,,,,,,,,,,
1268,0.4,0.27,0.17,0.28,,,,,,,,
1269,0.54,0.39,0.27,0.53,,,,,,,,
1270,0.61,0.34,0.27,0.6,,,,,,,,
1271,0.85,0.45,0.22,0.62,,,,,,,,
1272,0.85,0.61,0.29,0.83,,,,,,,,
1273,0.61,0.46,0.26,0.67,,,,,,,,
1274,0.77,0.51,0.29,0.75,,,,,,,,
1275,0.8,0.54,0.29,0.64,,,,,,,,
1276,0.63,0.4,0.27,0.44,7.37,,,,,,,
1277,0.81,0.54,0.32,0.79,,,,,,,,
1278,0.57,0.43,0.26,0.6,,,,,,,,
1279,0.52,0.37,0.24,0.42,6.0,,,,,,,
1280,0.63,0.4,0.22,0.49,,,,,,,,
1281,0.61,0.37,0.22,0.48,,,,,,,,
1282,0.77,0.39,0.28,0.61,,,,,,,,
1283,0.77,0.51,0.26,0.57,,,,,,,,
1284,0.76,0.5,0.26,0.72,,,,,,,,
1285,0.52,0.35,0.22,0.46,5.0,,,,,,,
1286,0.65,0.44,0.27,0.51,4.39,,,,,,,
1287,0.51,0.37,0.24,0.48,,,,,,,,
1288,0.32,0.23,0.17,0.26,,,,,,,,
1289,0.36,0.27,0.19,0.3,,,,,,,,
1290,0.56,0.37,0.24,0.47,,,,,,,,
1291,0.74,0.46,0.29,0.63,,,,,,,,
1292,0.65,0.45,0.25,0.63,,,,,,,,
1293,0.69,0.45,0.28,0.46,,,,,,,,
1294,0.96,0.54,0.26,0.7,,,,,,,,
1295,1.01,0.61,0.32,1.07,8.0,,,,,,,
1296,0.98,0.67,0.26,0.88,,,,,,,,
1297,0.61,0.41,0.19,0.63,,,,,,,,
1298,0.75,0.5,0.31,0.67,,,,,,,,
1299,0.62,0.57,0.31,0.62,,,,,,,,
1300,0.62,0.44,0.26,0.51,,,,,,,,
1301,0.59,0.37,0.21,0.39,,,,,,,,
1302,0.58,0.37,0.21,0.39,,,,,,,,
1303,0.53,0.27,0.22,0.4,,,,,,,,
1304,0.46,0.34,0.18,0.44,,,,,,,,
1305,0.64,0.43,0.24,0.58,,,,,,,,
1306,0.6,0.45,0.24,0.63,6.0,,,,,,,
1307,0.52,0.4,0.23,0.53,5.0,,,,,,,
1308,0.65,0.44,0.25,0.48,,,,,,,,
1309,0.82,0.5,0.25,0.68,,,,,,,,
1310,0.88,0.58,0.34,0.84,,,,,,,,
1311,0.93,0.53,0.35,0.68,,,,,,,,
1312,0.58,0.43,0.25,0.53,,,,,,,,
1313,0.57,0.41,0.28,0.48,,,,,,,,
1314,0.63,0.45,0.28,0.55,,,,,,,,
1315,0.79,0.54,0.32,0.56,,,,,,,,
1316,1.75,1.05,0.79,1.61,4.95,,,,,,,
1317,1.72,1.12,0.47,1.5,,,,,,,,
1318,0.9,0.62,0.31,0.83,3.33,,,,,,,
1319,0.48,0.33,0.22,0.36,,,,,,,,
1320,0.59,0.39,0.22,0.48,,,,,,,,
1321,0.71,0.52,0.33,0.48,,,,,,,,
1322,1.47,0.87,0.39,0.95,,,,,,,,
1323,1.04,0.64,0.32,0.82,,,,,,,,
1324,0.78,0.43,0.24,0.5,,,,,,,,
1325,0.86,0.59,0.35,0.72,,,,,,,,
1326,0.59,0.42,0.25,0.55,4.67,,,,,,,
1327,0.45,0.32,0.25,0.54,4.98,,,,,,,
1328,0.54,0.33,0.22,0.47,6.18,,,,,,,
1329,0.73,0.37,0.27,0.71,5.42,,,,,,,
1330,0.74,0.44,0.25,0.58,3.54,,,,,,,
1331,0.81,0.5,0.31,0.85,,,,,,,,
1332,0.9,0.6,0.37,0.93,,,,,,,,
1333,0.61,0.4,0.26,0.65,,,,,,,,
1334,0.5,0.34,0.22,,,,,,,,,
1335,0.51,0.35,0.22,0.48,,,,,,,,
1336,0.57,0.39,0.22,0.44,,,,,,,,
1337,0.51,0.35,0.2,0.44,,,,,,,,
1338,0.43,0.26,0.18,0.34,,,,,,,,
1339,0.39,0.2,0.13,0.27,,,,,,,,
1340,0.68,0.39,0.19,0.53,,,,,,,,
1341,0.46,0.33,0.22,0.44,,,,,,,,
1342,0.52,0.36,0.22,0.4,,,,,,,,
1343,0.48,0.36,0.22,0.42,3.08,,,,,,,
1344,0.68,0.44,0.27,0.55,1.84,,,,,,,
1345,0.44,0.34,0.21,0.39,3.33,,,,,,,
1346,0.49,0.36,0.24,0.44,1.38,6.32,,,,,,
1347,0.82,0.51,0.28,0.65,,,,,,,,
1348,0.77,0.52,0.29,0.61,2.07,4.0,,,,,,
1349,0.49,0.26,0.16,0.34,,,,,,,,
1350,0.71,0.45,0.29,0.53,1.67,,,,,,,
1351,0.97,0.7,0.46,0.78,2.42,18.0,,,,,,
1352,1.3,0.8,0.48,0.85,,,,,,,,
1353,0.63,0.61,0.44,0.82,2.42,,,,,,,
1354,0.53,0.7,0.25,0.4,2.59,19.0,,,,,,
1355,0.69,0.32,0.26,0.43,2.76,,,,,,,
1356,0.74,0.5,0.27,0.55,2.42,,,,,,,
1357,0.77,0.56,0.37,0.89,,,,,,,,
1358,0.84,0.58,0.35,0.69,3.03,,,,,,,
1359,0.71,0.67,0.29,0.54,,,,,,,,
1360,0.77,0.59,0.25,0.48,,,,,,,,
1361,0.74,0.69,0.31,0.65,13.33,,,,,,,
1362,0.59,0.81,0.34,0.67,,,,,,,,
1363,0.86,0.77,0.36,0.82,,,,,,,,
1364,1.08,0.74,0.33,0.69,,,,,,,,
1365,0.85,0.71,0.29,0.54,,,,,,,,
1366,0.65,0.66,0.28,0.48,,,,,,,,
1367,0.64,0.72,0.32,0.69,,,,,,,,
1368,0.89,0.57,0.33,0.71,,,,,,,,
1369,0.83,0.6,0.34,0.74,,,,,,,,
1370,1.82,1.12,0.5,1.24,,,,,,,,
1371,0.86,0.76,0.36,0.72,6.0,,,,,,,
1372,0.74,0.51,0.26,0.44,,,,,,,,
1373,0.93,0.58,0.3,0.6,12.0,,,,,,,
1374,0.67,0.45,0.26,0.55,20.0,,,,,,,
1375,1.06,0.6,0.35,0.7,20.0,,,,,,,
1376,0.98,0.64,0.36,0.81,20.0,,,,,,,
1377,0.53,0.47,0.25,0.49,17.49,,,,,,,
1378,0.47,0.37,0.22,0.46,3.73,18.0,,,,,,
1379,0.46,0.32,0.22,0.44,16.0,,,,,,,
1380,0.71,0.39,0.24,0.46,16.0,,,,,,,
1381,0.74,0.41,0.27,0.47,16.0,,,,,,,
1382,0.62,0.39,0.24,0.48,16.0,,,,,,,
1383,0.6,0.39,0.23,0.43,13.33,,,,,,,
1384,0.59,0.46,0.29,0.57,13.33,,,,,,,
1385,0.51,0.39,0.26,0.53,13.33,,,,,,,
1386,0.64,0.4,0.28,0.69,13.33,,,,,,,
1387,0.53,0.36,0.19,0.37,13.33,,,,,,,
1388,0.43,0.29,0.18,0.37,14.6,,,,,,,
1389,0.41,0.27,0.19,0.4,13.82,,,,,,,
1390,0.71,0.4,0.26,0.5,6.67,,,,,,,
1391,1.05,0.68,0.38,0.84,14.0,,,,,,,
1392,0.61,0.41,0.25,0.44,,,,,,,,
1393,0.39,0.32,0.21,0.43,12.59,,,,,,,
1394,0.45,0.33,0.23,0.42,14.0,,,,,,,
1395,0.46,0.4,0.24,0.48,12.0,,,,,,,
1396,0.53,0.39,0.23,0.53,10.32,,,,,,,
1397,0.75,0.46,0.28,0.6,2.39,14.0,,,,,,
1398,0.65,0.54,0.35,0.61,2.62,16.0,,,,,,
1399,0.6,0.4,0.24,0.55,19.6,,,,,,,
1400,0.67,0.44,0.26,0.51,18.47,,,,,,,
1401,0.84,0.45,0.26,0.54,18.0,,,,,,,
1402,1.06,0.66,0.3,0.64,18.0,,,,,,,
1403,0.72,0.51,0.29,0.68,2.52,18.0,,,,,,
1404,0.54,0.42,0.24,0.41,2.45,1.13,15.16,,,,,
1405,0.51,0.37,0.21,0.41,2.54,,,,,,,
1406,0.43,0.34,0.22,0.47,2.76,14.69,,,,,,
1407,0.49,0.32,0.21,0.42,2.16,13.73,,,,,,
1408,0.69,0.39,0.24,0.48,2.53,14.0,,,,,,
1409,0.8,0.47,0.34,0.53,2.56,2.5,14.0,,,,,
1410,0.95,0.61,0.32,0.76,2.64,2.67,13.49,,,,,
1411,0.68,0.48,0.31,0.64,2.84,1.58,14.0,,,,,
1412,0.58,0.39,0.24,0.5,2.58,1.83,13.66,,,,,
1413,0.55,0.34,0.25,0.42,2.32,1.67,12.0,,,,,
1414,0.51,0.37,0.27,0.5,,,,,,,,
1415,0.52,0.39,0.25,0.56,2.94,1.15,,,,,,
1416,0.74,0.5,0.29,0.62,2.75,1.33,14.0,,,,,
1417,0.97,0.56,0.28,0.57,2.22,0.67,10.16,,,,,
1418,0.66,0.39,0.25,0.69,2.9,1.5,17.33,,,,,
1419,0.82,0.37,0.22,0.29,3.05,1.17,17.0,,,,,
1420,0.54,0.43,0.29,0.56,3.29,1.0,14.0,,,,,
1421,0.75,0.39,0.22,0.55,1.93,1.53,11.83,,,,,
1422,0.59,0.34,0.21,0.39,1.97,0.83,,,,,,
1423,0.47,0.4,0.22,0.39,2.64,1.17,10.0,,,,,
1424,0.5,0.35,0.21,0.56,2.27,1.0,,,,,,
1425,0.57,0.34,0.24,0.42,2.82,11.45,,,,,,
1426,0.51,0.36,0.19,0.46,2.26,13.86,,,,,,
1427,0.46,0.34,0.21,0.37,1.94,1.0,14.0,,,,,
1428,0.47,0.3,0.22,0.37,2.24,0.92,,,,,,
1429,0.84,0.44,0.32,0.46,2.39,,,,,,,
1430,0.83,0.46,0.29,0.97,2.5,,,,,,,
1431,0.68,0.34,0.23,0.46,1.97,2.5,9.49,,,,,
1432,0.48,0.32,0.19,0.69,2.5,13.64,,,,,,
1433,0.77,0.4,0.23,0.7,2.97,0.67,13.33,,,,,
1434,0.58,0.44,0.24,0.56,2.49,,,,,,,
1435,0.54,0.33,0.19,0.49,2.44,,,,,,,
1436,0.66,0.27,0.19,0.49,16.0,,,,,,,
1437,0.62,0.29,0.2,0.46,2.21,,,,,,,
1438,1.14,0.44,0.31,0.57,2.32,,,,,,,
1439,1.35,0.78,0.35,1.05,2.75,1.63,14.67,,,,,
1440,0.87,0.51,0.22,0.68,2.39,,,,,,,
1441,0.43,0.27,0.16,0.43,2.25,1.5,,,,,,
1442,0.47,0.27,0.16,0.34,2.99,,,,,,,
1443,0.48,0.32,0.27,0.49,2.91,13.33,,,,,,
1444,0.47,0.28,0.21,0.43,2.53,1.02,16.24,,,,,
1445,0.43,0.27,0.19,0.35,1.99,9.33,,,,,,
1446,0.66,0.27,0.22,0.49,2.21,13.33,,,,,,
1447,0.69,0.3,0.21,0.49,1.99,9.2,,,,,,
1448,0.6,0.31,0.19,0.36,3.15,2.0,11.55,,,,,
1449,0.58,0.33,0.18,0.4,1.89,1.05,13.96,,,,,
1450,0.62,0.31,0.18,0.33,2.31,12.0,,,,,,
1451,0.71,0.33,0.19,0.44,2.62,8.33,,,,,,
1452,0.73,0.31,0.18,0.32,2.52,5.85,,,,,,
1453,0.62,0.32,0.22,0.33,2.55,6.67,,,,,,
1454,0.52,0.39,0.23,0.49,2.74,11.54,,,,,,
1455,0.49,0.32,0.18,0.39,2.7,1.83,10.41,,,,,
1456,0.6,0.33,0.2,0.29,3.73,,,,,,,
1457,0.61,0.29,0.19,0.46,2.06,15.32,,,,,,
1458,0.76,0.3,0.19,0.34,2.84,1.42,13.06,,,,,
1459,0.73,0.28,0.23,0.34,2.52,1.41,11.15,,,,,
1460,0.62,0.34,0.24,0.48,1.76,11.48,,,,,,
1461,0.88,0.43,0.22,0.54,1.47,10.92,,,,,,
1462,0.9,0.39,0.23,0.39,3.57,1.25,10.0,,,,,
1463,0.5,0.37,0.15,0.39,13.33,,,,,,,
1464,0.42,0.24,0.15,0.39,1.66,12.67,,,,,,
1465,0.51,0.49,0.22,0.36,4.56,14.24,,,,,,
1466,0.52,0.41,0.19,0.78,2.86,14.98,,,,,,
1467,0.66,0.37,0.2,0.34,2.14,1.35,12.0,,,,,
1468,0.7,0.27,0.19,0.44,1.89,9.09,,,,,,
1469,0.72,0.31,0.18,0.36,2.39,12.7,,,,,,
1470,0.73,0.29,0.19,0.39,2.56,4.0,13.82,,,,,
1471,0.78,0.34,0.19,0.58,2.5,10.67,,,,,,
1472,0.69,0.32,0.22,0.54,2.39,13.33,,,,,,
1473,0.52,0.34,0.23,0.42,1.44,16.67,,,,,,
1474,0.5,0.4,0.22,0.36,2.39,11.05,,,,,,
1475,0.54,0.31,0.15,0.39,2.39,0.92,17.82,,,,,
1476,0.66,0.29,0.15,0.39,2.39,0.71,13.33,,,,,
1477,0.64,0.31,0.19,0.49,2.39,13.27,,,,,,
1478,0.82,0.31,0.16,2.27,13.33,,,,,,,
1479,0.87,0.27,0.21,0.49,9.25,,,,,,,
1480,0.65,0.34,0.16,0.54,2.14,20.57,,,,,,
1481,0.69,0.33,0.18,0.58,11.16,,,,,,,
1482,0.93,0.58,0.27,0.85,1.89,1.67,21.77,,,,,
1483,1.19,0.59,0.22,0.92,2.29,8.16,,,,,,
1484,0.84,0.46,0.17,0.78,2.63,,,,,,,
1485,0.63,0.38,0.17,0.59,2.52,11.25,,,,,,
1486,0.58,0.29,0.16,0.52,1.53,2.0,,,,,,
1487,0.72,0.38,0.19,0.51,14.93,,,,,,,
1488,0.71,0.33,0.17,0.33,1.9,,,,,,,
1489,0.71,0.41,0.22,0.36,2.05,14.6,,,,,,
1490,0.7,0.33,0.19,0.4,1.94,0.91,18.47,,,,,
1491,0.74,0.38,0.19,0.58,2.04,14.6,,,,,,
1492,0.75,0.37,0.22,0.43,1.93,17.52,,,,,,
1493,0.62,0.39,0.16,1.9,8.72,,,,,,,
1494,0.59,0.29,0.17,0.39,1.9,14.97,,,,,,
1495,0.56,0.27,0.17,0.32,2.61,0.77,,,,,,
1496,0.5,0.26,0.21,0.34,2.74,1.25,18.21,,,,,
1497,0.76,0.28,0.2,0.33,2.09,21.33,,,,,,
1498,0.67,0.3,0.26,0.34,2.41,17.82,,,,,,
1499,0.67,0.32,0.26,0.61,2.97,11.55,,,,,,
1500,0.58,0.31,0.2,0.36,0.3,2.12,0.75,11.63,,,,
1501,0.92,0.31,0.23,2.01,8.54,,,,,,,
1502,0.97,0.39,0.21,0.53,0.27,2.54,1.0,10.38,,,,
1503,0.85,0.32,0.25,0.28,2.19,6.71,,,,,,
1504,0.88,0.38,0.23,0.55,0.38,2.55,2.36,9.42,,,,
1505,0.71,0.41,0.27,2.66,17.85,,,,,,,
1506,0.68,0.38,0.21,0.34,0.38,2.02,18.47,,,,,
1507,0.71,0.27,0.22,0.45,0.35,1.81,26.4,,,,,
1508,0.75,0.32,0.23,0.4,0.31,2.09,0.92,18.67,,,,
1509,0.39,0.4,0.21,0.43,0.25,2.45,10.6,,,,,
1510,0.45,0.33,0.2,0.42,0.25,1.77,1.25,11.15,,,,
1511,0.53,0.24,0.22,0.34,1.9,1.7,13.75,,,,,
1512,0.75,0.26,0.22,0.35,2.06,13.33,,,,,,
1513,1.11,0.6,2.39,14.67,,,,,,,,
1514,0.71,0.57,0.47,2.15,12.53,,,,,,,
1515,0.66,0.31,0.66,2.35,11.53,,,,,,,
1516,0.85,0.49,0.27,0.49,2.37,13.99,,,,,,
1517,0.58,0.42,0.23,0.52,2.82,11.76,,,,,,
1518,0.79,0.43,0.66,2.94,16.0,,,,,,,
1519,0.74,0.39,0.25,0.68,0.38,3.41,1.75,14.17,,,,
1520,1.02,0.45,0.29,0.84,0.73,2.17,2.0,14.6,,,,
1521,1.13,0.61,0.35,1.12,0.45,3.41,11.55,,,,,
1522,0.89,0.47,0.31,0.69,0.32,2.52,1.49,17.33,,,,
1523,0.84,0.33,0.25,0.62,0.4,1.92,1.5,34.67,,,,
1524,0.81,0.3,0.27,2.01,,,,,,,,
1525,0.63,0.33,0.38,0.7,0.29,2.22,1.65,16.65,,,,
1526,0.63,0.34,0.27,0.7,0.46,1.64,3.11,16.0,,,,
1527,0.82,0.5,0.32,0.79,0.58,2.75,18.43,,,,,
1528,1.87,0.79,0.5,1.06,0.78,2.99,2.44,19.6,,,,
1529,1.12,0.77,0.25,0.62,1.72,15.49,,,,,,
1530,1.16,0.5,0.32,0.66,0.42,1.76,8.33,,,,,
1531,1.25,0.44,0.37,0.51,0.37,2.06,2.67,45.21,,,,
1532,1.17,0.49,0.41,0.36,2.43,3.27,19.31,,,,,
1533,1.12,0.59,0.39,0.69,0.51,3.25,1.0,12.0,,,,
1534,0.88,0.49,0.34,0.7,0.61,2.48,1.29,,,,,
1535,1.12,0.42,0.42,0.43,2.15,0.83,18.62,,,,,
1536,1.24,0.56,0.37,0.7,0.59,24.48,2.42,1.63,32.0,,,
1537,1.12,0.4,0.4,0.67,0.42,2.58,3.33,16.74,,,,
1538,0.86,0.36,0.32,0.46,2.3,2.75,16.65,,,,,
1539,0.82,0.43,0.36,0.55,0.49,2.9,,,,,,
1540,0.85,0.54,0.32,0.46,18.25,2.55,22.56,,,,,
1541,1.05,0.56,0.41,0.48,2.47,13.33,,,,,,
1542,1.03,0.48,0.34,0.69,0.6,15.82,2.65,1.0,,,,
1543,1.09,0.66,0.37,1.08,0.58,21.96,2.09,14.93,,,,
1544,1.31,0.39,0.37,0.71,0.53,23.98,2.53,2.0,12.0,,,
1545,1.56,0.45,0.44,0.87,0.65,25.78,2.39,2.65,10.0,,,
1546,2.08,0.96,0.56,0.99,0.69,2.34,1.63,17.33,,,,
1547,0.89,0.56,0.43,0.61,0.51,31.25,2.99,26.67,,,,
1548,0.75,0.43,0.35,0.57,0.49,2.7,1.67,26.67,,,,
1549,1.22,0.65,0.43,0.71,0.53,42.09,2.99,3.0,28.44,,,
1550,1.91,0.56,0.97,1.7,1.05,47.19,3.61,2.74,26.67,,,
1551,2.47,0.93,0.74,1.23,1.21,4.35,29.33,,,,,
1552,1.89,0.69,0.68,1.38,1.03,5.2,2.58,,,,,
1553,1.38,0.69,0.67,0.82,0.85,4.33,2.0,24.0,,,,
1554,1.34,0.77,0.82,1.35,0.71,22.01,5.04,1.75,24.0,,,
1555,1.85,1.05,0.83,1.54,0.84,6.09,3.0,19.32,,,,
1556,2.79,2.23,0.9,2.57,1.69,26.48,3.16,2.67,22.31,,,
1557,3.15,1.91,1.66,3.35,2.42,36.9,4.93,4.08,21.83,,,
1558,1.19,0.73,0.57,1.14,0.62,24.11,4.35,2.0,18.67,,,
1559,1.5,1.25,0.6,0.87,0.78,25.26,3.67,1.17,21.33,,,
1560,1.55,0.59,1.13,0.84,31.12,4.81,28.34,,,,,
1561,1.93,0.94,0.8,1.29,1.32,40.23,4.99,2.2,48.0,,,
1562,1.95,0.75,0.88,2.23,1.28,42.81,6.75,3.08,,,,
1563,1.94,1.09,0.78,2.08,1.37,38.6,9.86,7.0,42.67,,,
1564,2.33,0.99,0.74,1.47,1.17,85.66,7.53,4.0,32.0,,,
1565,1.51,0.94,0.54,0.95,0.68,38.34,5.07,3.87,28.28,,,
1566,1.57,0.83,0.83,1.22,1.06,24.09,5.31,2.0,27.36,,,
1567,1.63,0.89,0.74,1.31,1.0,53.37,6.01,2.5,32.0,,,
1568,1.49,1.47,0.83,1.55,1.07,64.44,6.3,3.33,26.67,,,
1569,1.61,1.15,0.8,1.35,1.09,60.41,6.31,3.61,29.33,,,
1570,1.61,0.79,0.67,1.11,0.76,80.78,4.98,2.17,22.63,,,
1571,1.35,0.71,0.66,1.07,0.73,54.63,5.07,2.08,,,,
1572,1.79,0.93,0.7,1.09,0.7,63.93,5.74,3.33,,,,
1573,1.97,0.94,0.74,1.88,1.2,54.29,5.97,,,,,
1574,2.78,1.47,0.87,2.03,1.53,57.1,5.49,4.0,,,,
1575,1.95,0.94,0.71,1.65,1.15,40.28,4.87,5.0,,,,
1576,2.07,1.01,0.72,1.27,0.89,42.63,4.92,4.5,,,,
1577,2.28,1.2,0.78,1.35,1.09,43.99,5.75,4.67,,,,
1578,1.98,1.26,0.76,1.4,1.04,37.49,5.3,4.0,,,,
1579,2.03,0.96,0.6,1.41,0.85,37.47,5.65,2.75,,,,
1580,1.65,0.97,0.84,1.54,1.07,81.17,6.45,,,,,
1581,2.4,1.21,0.67,1.36,0.99,57.16,7.26,3.0,,,,
1582,2.29,1.11,0.74,1.64,1.18,54.13,6.6,,,,,
1583,2.06,1.04,0.83,1.57,1.12,44.11,6.29,,,,,
1584,1.92,1.08,0.85,1.63,1.19,43.79,6.84,2.75,,,,
1585,2.35,1.05,0.81,1.67,1.1,46.57,6.43,5.0,,,,
1586,3.28,1.51,0.98,2.4,1.68,57.26,6.79,2.75,,,,
1587,3.14,1.2,1.34,2.49,1.81,49.65,7.25,3.0,,,,
1588,2.0,1.16,1.05,1.61,1.16,42.64,5.08,2.0,,,,
1589,2.23,1.05,1.15,1.91,1.29,54.98,4.84,3.75,,,,
1590,2.79,1.46,1.31,2.2,1.54,85.45,6.72,3.38,,,,
1591,2.57,1.87,1.59,3.23,2.22,35.28,9.13,7.26,,,,
1592,2.01,1.11,1.17,1.99,1.44,65.78,7.38,6.0,,,,
1593,2.32,1.13,0.88,1.69,1.19,90.5,7.85,3.0,,,,
1594,3.37,1.26,0.92,1.75,1.3,45.7,9.38,3.19,,,,
1595,4.21,2.0,1.61,2.74,1.95,40.54,12.1,3.5,,,,
1596,4.77,2.11,1.56,2.38,1.82,62.5,9.09,3.78,,,,
1597,5.83,2.9,1.84,3.44,2.77,42.91,10.45,5.49,,,,
1598,4.79,2.11,1.47,3.07,2.26,46.65,9.61,4.04,,,,
1599,2.97,1.57,1.14,1.91,1.27,41.69,7.51,5.68,,,,
1600,3.2,1.74,0.96,1.99,1.21,51.52,9.62,3.5,,,,
1601,3.2,1.96,1.78,2.78,1.88,54.41,10.63,5.02,,,,
1602,2.89,1.42,0.83,2.76,2.0,99.08,9.05,4.04,,,,
1603,3.05,1.19,0.86,1.93,1.3,169.39,8.24,3.35,,,,
1604,3.01,1.24,1.07,1.98,1.36,104.8,8.7,4.08,,,,
1605,3.26,1.62,1.13,1.78,1.36,90.31,7.85,4.08,,,,
1606,3.06,1.57,1.16,2.06,1.6,95.4,13.44,4.04,,,,
1607,3.34,1.52,1.14,2.14,1.25,89.58,12.43,4.67,,,,
