Year,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Net,Straw,Mustard,Saffron
1608,4.81,1.95,1.17,2.4,1.54,128.86,11.9,5.81,,,,
1609,4.58,2.14,1.37,2.79,2.17,66.54,10.75,4.08,,,,
1610,3.49,1.81,1.28,2.76,1.74,58.04,12.41,4.08,,,,
1611,3.77,1.65,1.31,2.28,1.57,29.86,10.93,4.92,,,,
1612,3.98,2.06,1.78,3.01,2.53,38.23,19.16,10.55,,,,
1613,4.56,2.25,1.52,3.0,2.71,57.71,16.12,5.82,,,,
1614,4.57,2.28,1.65,2.98,50.91,11.48,5.69,,,,,
1615,3.93,2.22,1.7,2.89,2.68,76.77,12.98,4.4,,,,
1616,3.89,2.16,2.02,3.61,2.23,67.1,14.87,4.85,,,,
1617,4.63,1.86,1.3,2.48,1.72,76.39,12.29,4.85,,,,
1618,4.47,1.82,1.27,1.92,1.32,75.08,10.73,4.85,,,,
1619,3.55,1.57,1.22,2.03,1.49,111.34,13.63,4.85,,,,
1620,2.98,1.36,1.24,2.04,1.7,97.06,12.82,4.85,,,,
1621,3.52,1.47,1.12,2.24,1.76,123.19,14.84,8.53,,,,
1622,4.8,2.37,1.35,3.07,2.48,101.8,15.11,5.26,,,,
1623,4.95,3.12,2.36,1.25,2.54,1.87,94.04,13.8,4.85,,,
1624,4.23,3.12,1.86,1.25,2.21,1.74,48.03,12.86,4.76,,,
1625,4.7,3.47,1.97,1.31,2.52,1.85,39.97,13.45,5.32,,,
1626,4.43,3.47,2.13,1.65,2.8,1.96,44.19,12.74,7.64,,,
1627,3.66,3.22,1.54,0.97,1.76,1.53,68.04,12.74,6.96,,,
1628,3.31,3.15,1.63,1.27,2.29,1.92,98.05,12.83,6.71,,,
1629,3.75,3.25,2.17,1.37,2.95,2.62,165.95,13.87,8.24,,,
1630,5.01,2.7,1.84,3.55,2.28,65.71,17.22,10.78,,,,
1631,5.75,2.88,2.06,4.56,59.98,15.99,8.27,,,,,
1632,4.92,4.69,2.33,1.35,2.58,2.35,68.88,13.34,9.69,,,
1633,4.77,4.7,2.34,1.42,2.5,2.14,102.33,13.81,9.69,,,
1634,4.9,5.1,2.62,1.62,3.23,2.98,101.94,14.94,9.69,,,
1635,4.83,4.69,2.36,1.5,3.07,100.63,14.96,9.69,,,,
1636,4.76,2.71,2.37,1.61,3.42,2.98,98.56,15.97,8.04,,,
1637,4.88,4.7,3.15,1.9,4.33,4.13,98.08,15.96,7.63,,,
1638,5.09,3.25,1.91,4.44,88.98,19.31,8.81,,,,,
1639,4.12,5.09,2.26,1.42,2.95,60.57,13.67,7.78,,,,
1640,3.74,2.0,1.14,2.06,58.63,10.94,8.04,,,,,
1641,4.45,2.19,1.47,2.81,3.34,81.44,17.79,8.53,,,,
1642,4.04,2.1,1.38,2.13,1.85,107.15,14.99,8.53,,,,
1643,4.3,1.79,1.62,2.66,1.76,196.72,13.57,7.5,,,,
1644,4.06,1.89,1.16,1.77,2.28,85.61,15.57,,,,,
1645,4.04,2.11,1.26,2.54,2.04,71.29,14.99,,,,,
1646,4.51,2.3,1.54,2.42,1.56,49.7,12.82,,,,,
1647,6.33,3.09,1.79,3.09,3.15,63.19,15.35,,,,,
1648,7.31,3.48,2.55,4.35,3.07,102.06,19.74,,,,,
1649,6.79,3.16,2.01,4.58,2.68,101.95,16.69,,,,,
1650,6.49,2.67,2.41,5.25,2.38,179.7,16.12,,,,,
1651,5.98,2.3,1.42,3.01,2.02,46.05,13.38,,,,,
1652,4.94,2.19,1.8,3.74,114.99,14.05,,,,,,
1653,3.64,2.17,2.05,4.13,4.0,72.62,15.8,,,,,
1654,2.79,1.57,1.27,3.01,1.67,117.3,14.13,,,,,
1655,2.71,1.59,1.13,2.4,1.67,136.3,15.93,,,,,
1656,4.17,3.39,2.01,1.31,2.72,2.24,134.0,18.6,,,,
1657,4.44,3.91,2.54,1.59,3.44,2.08,177.9,19.29,,,,
1658,5.63,3.91,2.5,1.63,3.24,2.76,105.17,14.66,,,,
1659,5.93,2.81,2.11,3.29,2.38,104.38,12.38,,,,,
1660,5.42,3.47,2.51,1.55,3.21,2.46,71.75,14.93,,,,
1661,6.19,6.25,2.85,1.5,2.96,1.63,77.12,14.18,,,,
1662,6.73,4.17,3.01,1.95,3.43,2.27,62.53,14.64,,,,
1663,4.93,2.55,1.67,3.14,2.25,64.58,14.79,,,,,
1664,4.8,2.14,1.52,2.99,2.39,104.04,14.1,,,,,
1665,4.14,3.12,2.0,1.47,2.14,1.64,86.2,15.3,,,,
1666,3.35,1.74,1.76,1.46,2.76,1.99,135.91,20.17,,,,
1667,3.08,1.96,1.77,1.15,2.11,2.15,78.19,16.01,,,,
1668,3.3,2.21,1.77,1.37,2.19,1.81,76.04,10.56,,,,
1669,4.36,3.12,2.2,1.28,2.33,1.95,69.44,13.82,,,,
1670,3.93,3.12,2.07,1.34,2.68,2.29,75.8,13.4,,,,
1671,4.01,1.8,1.44,3.13,2.33,68.3,13.38,,,,,
1672,3.77,1.71,1.19,2.19,1.92,71.85,13.19,,,,,
1673,4.11,3.65,1.97,1.3,2.87,1.99,144.42,15.22,,,,
1674,5.93,4.86,2.72,1.43,3.49,2.78,112.0,14.84,,,,
1675,5.21,3.39,2.34,1.52,2.77,2.31,104.24,14.83,,,,
1676,3.47,2.34,1.84,1.33,2.6,2.0,122.37,12.18,,,,
1677,3.73,3.47,2.25,1.49,3.09,2.29,75.41,16.23,,,,
1678,4.77,2.6,2.16,1.43,2.76,2.5,60.6,14.27,,,,
1679,5.02,2.34,2.05,1.38,2.42,1.87,54.06,15.41,,,,
1680,3.99,2.08,1.76,1.28,2.74,2.1,43.64,14.77,,,,
1681,4.4,4.17,2.06,1.5,2.6,2.08,99.38,15.1,,,,
1682,4.12,3.47,2.42,1.63,3.12,2.76,112.0,15.29,,,,
1683,4.0,2.6,2.05,1.43,3.21,2.24,89.18,14.24,,,,
1684,4.14,3.43,2.15,1.56,2.64,2.47,110.05,14.48,,,,
1685,4.36,2.6,2.14,1.6,3.95,3.29,120.9,23.91,,,,
1686,3.41,3.65,2.21,1.57,2.9,2.68,134.97,15.51,,,,
1687,3.48,2.08,1.92,1.33,2.03,2.37,196.85,12.07,,,,
1688,2.93,2.08,1.71,1.28,2.78,2.38,108.82,15.21,,,,
1689,2.85,2.34,1.5,1.11,1.97,1.65,66.02,10.41,,,,
1690,3.27,2.34,1.4,1.26,2.07,1.69,45.79,14.4,,,,
1691,3.11,2.34,1.33,1.23,1.79,1.78,42.33,12.22,,,,
1692,4.45,2.8,1.76,1.42,2.21,2.12,69.11,14.68,,,,
1693,5.44,3.12,2.56,1.69,3.31,2.64,70.5,14.81,,,,
1694,5.32,3.12,2.18,1.54,3.32,2.55,77.34,14.81,,,,
1695,4.34,2.86,1.98,1.42,2.82,2.75,112.44,13.34,,,,
1696,5.27,2.6,2.12,1.56,3.21,3.02,179.54,14.61,,,,
1697,5.93,4.17,2.3,1.31,3.16,2.6,203.59,14.61,,,,
1698,6.69,4.56,2.7,1.7,3.6,2.93,240.82,15.2,,,,
1699,5.65,3.12,2.81,1.53,3.53,2.87,208.85,22.03,,,,
1700,4.24,2.86,2.11,1.68,3.49,2.62,115.9,16.01,,,,
1701,3.38,2.08,1.8,1.32,2.24,1.64,68.34,13.53,,,,
1702,2.93,1.96,1.85,1.42,2.64,1.94,113.56,14.23,,,,
1703,2.88,1.96,1.67,1.33,2.17,1.94,88.31,15.43,,,,
1704,3.72,1.78,1.35,2.42,2.02,72.81,17.26,,,,,
1705,3.1,1.63,1.42,2.36,1.96,147.66,14.29,,,,,
1706,2.89,1.92,1.64,3.04,2.09,110.63,15.43,,,,,
1707,2.97,2.08,2.02,1.28,2.4,2.14,109.04,13.94,,,,
1708,3.89,2.88,2.27,1.6,2.23,2.51,98.79,15.85,,,,
1709,6.63,5.21,2.65,1.59,3.41,2.16,97.79,13.32,,,,
1710,6.92,3.86,2.85,1.56,3.95,2.41,143.93,14.82,,,,
1711,4.77,3.5,2.57,1.55,3.68,2.44,120.34,15.99,,,,
1712,4.13,2.84,2.17,1.64,3.37,2.29,71.47,14.16,,,,
1713,4.39,3.33,2.0,1.46,2.88,2.01,89.11,14.13,,,,
1714,5.22,3.38,2.35,1.51,2.98,2.51,147.43,15.58,,,,
1715,3.69,2.82,2.41,1.42,3.2,2.76,167.4,13.89,,,,
1716,4.38,2.64,2.16,1.41,2.71,2.41,146.74,13.89,,,,
1717,4.17,2.76,2.04,1.37,2.5,2.17,138.32,14.66,,,,
1718,3.66,2.47,1.9,1.35,2.45,2.09,91.26,14.47,,,,
1719,3.3,2.29,2.23,1.42,2.49,2.22,154.67,14.66,,,,
1720,3.98,2.68,2.65,1.62,3.66,2.74,93.28,16.39,,,,
1721,3.72,2.27,2.28,1.4,2.43,2.23,75.72,16.54,,,,
1722,3.49,2.15,1.83,1.25,2.33,1.86,50.97,13.61,,,,
1723,3.72,2.76,1.9,1.28,2.53,2.11,89.35,13.15,,,,
1724,3.55,2.84,2.34,1.63,3.31,2.52,101.71,15.25,,,,
1725,4.28,3.21,2.28,1.42,3.33,2.42,103.75,14.9,,,,
1726,4.81,3.39,2.29,1.37,2.71,2.5,136.69,17.2,,,,
1727,4.32,3.73,2.48,1.37,3.05,2.2,69.63,17.94,,,,
1728,5.84,4.44,3.22,1.66,2.99,2.66,65.84,15.81,,,,
1729,4.94,3.53,2.88,1.81,3.03,2.73,63.04,15.81,,,,
1730,3.62,2.49,2.11,1.43,2.43,2.39,57.8,15.81,,,,
1731,3.18,2.3,2.13,1.34,2.3,2.38,83.98,17.1,,,,
1732,2.57,2.11,2.01,1.36,2.28,2.24,140.63,18.42,,,,
1733,2.9,2.19,1.9,1.27,2.02,2.19,163.94,10.99,,,,
1734,3.62,2.78,1.88,1.33,2.3,2.21,122.25,13.77,,,,
1735,4.27,3.3,1.92,1.46,2.41,2.24,2.52,114.26,11.86,,,
1736,4.12,2.9,2.05,1.51,2.4,2.12,109.76,18.39,,,,
1737,3.52,2.68,2.22,1.62,2.64,2.61,144.46,17.38,,,,
1738,3.31,2.52,2.11,1.53,2.94,2.58,88.23,20.35,,,,
1739,3.67,2.56,2.01,1.33,2.37,2.31,56.55,14.87,,,,
1740,5.04,3.97,2.44,1.77,2.95,2.66,74.39,15.9,,,,
1741,5.1,3.27,2.35,1.8,3.73,3.01,70.37,17.17,,,,
1742,3.26,2.29,2.38,1.57,2.53,2.56,63.3,18.29,,,,
1743,2.68,1.91,1.97,1.47,2.33,2.06,63.23,16.86,,,,
1744,2.59,1.81,1.81,1.25,1.89,1.91,83.99,13.73,,,,
1745,2.92,2.44,1.6,1.47,2.04,1.88,125.25,13.14,,,,
1746,3.61,2.65,1.59,1.32,2.17,1.88,150.11,15.26,,,,
1747,3.43,2.44,1.58,1.19,1.99,1.84,2.52,99.43,12.99,,,
1748,3.61,2.6,1.86,1.28,2.03,2.02,97.15,12.47,,,,
1749,3.58,2.55,2.07,1.72,2.28,2.27,107.02,15.7,,,,
1750,3.49,2.34,1.86,1.55,2.1,2.33,119.11,14.92,,,,
1751,3.92,2.35,1.99,1.59,2.28,2.6,92.03,12.95,,,,
1752,4.41,2.78,2.05,1.62,2.38,2.51,92.75,14.02,,,,
1753,4.39,2.81,2.2,1.47,2.58,2.36,83.43,20.53,,,,
1754,3.76,2.61,2.13,1.59,2.81,2.45,71.11,20.8,,,,
1755,3.45,2.47,1.85,1.48,2.21,2.24,55.31,17.03,,,,
1756,4.3,3.26,2.14,1.64,2.49,2.53,57.01,20.42,,,,
1757,6.13,4.47,3.03,1.98,3.73,3.32,69.18,21.24,,,,
1758,4.91,3.02,2.71,1.88,3.2,2.97,69.28,18.19,,,,
1759,3.65,2.14,1.98,1.36,2.83,2.25,97.4,18.6,,,,
1760,3.34,2.19,1.98,1.42,2.28,2.33,135.25,20.62,,,,
1761,3.24,2.23,1.76,1.4,2.46,2.31,2.75,80.9,17.78,,,
1762,3.8,3.48,2.12,1.59,2.39,2.56,3.29,65.81,18.74,,,
1763,4.06,3.37,2.82,2.04,3.32,3.25,4.36,70.07,24.19,,,
1764,4.8,3.48,2.71,1.77,2.62,3.02,3.01,61.71,23.04,,,
1765,5.24,3.72,2.67,1.8,2.81,2.93,3.03,173.04,26.71,,,
1766,4.98,4.01,2.76,2.04,3.38,3.31,3.51,122.63,24.35,,,
1767,6.39,3.84,3.09,1.96,3.43,3.04,3.31,78.89,18.55,,,
1768,6.01,3.44,2.67,1.81,3.29,2.7,3.01,114.33,19.1,,,
1769,4.91,3.36,2.13,1.63,2.77,2.89,1.88,93.46,21.46,,,
1770,4.72,3.7,2.23,1.7,2.88,2.75,1.88,147.54,22.03,,,
1771,5.85,4.87,2.95,2.03,3.5,3.16,2.24,121.87,20.08,,,
1772,6.37,5.06,2.99,1.98,3.91,3.52,2.59,170.55,24.23,,,
1773,6.48,4.07,3.36,2.04,3.95,3.55,2.14,148.53,29.89,,,
1774,6.58,4.45,3.46,2.11,3.86,4.0,2.5,145.98,24.15,,,
1775,6.21,4.25,3.22,2.05,3.72,3.35,2.24,97.31,30.1,,,
1776,4.75,3.51,2.63,1.88,3.57,3.14,2.06,105.97,30.68,,,
1777,5.41,3.58,2.39,1.83,3.6,3.29,2.34,89.27,34.21,,,
1778,5.31,3.33,2.63,1.74,3.84,3.03,2.61,97.82,20.53,,,
1779,4.17,2.84,2.36,1.74,3.52,2.78,2.14,62.11,21.54,,,
1780,4.35,2.7,2.14,1.66,3.15,2.6,2.34,61.29,24.42,,,
1781,5.71,3.53,2.08,1.69,3.41,2.7,3.71,62.65,25.09,,,
1782,6.1,3.61,2.69,1.76,3.12,2.86,2.92,63.08,22.69,,,
1783,6.55,4.27,3.62,2.43,4.09,4.27,3.28,131.16,21.88,,,
1784,6.2,4.23,3.46,2.25,3.73,3.91,2.54,113.21,35.41,,,
1785,5.62,3.64,3.01,2.07,3.68,3.79,2.03,111.4,23.94,,,
1786,4.99,3.45,3.09,2.3,3.93,4.34,2.46,104.52,32.48,,,
1787,5.22,3.66,2.83,2.05,4.0,4.01,2.4,128.11,27.81,,,
1788,5.62,3.48,2.8,1.99,3.47,3.14,1.8,192.12,26.69,,,
1789,6.31,3.83,2.74,1.9,3.31,3.02,2.21,152.54,29.97,,,
1790,6.64,4.15,3.01,2.32,3.67,3.82,1.93,127.57,22.83,,,
1791,5.97,4.13,3.15,2.26,3.7,3.55,3.02,109.48,23.05,,,
1792,5.49,3.72,3.43,2.23,3.92,3.95,2.12,117.52,26.37,,,
1793,5.98,4.52,3.95,2.61,4.72,4.18,1.79,109.88,,,,
1794,6.24,4.88,4.1,2.83,5.56,4.21,2.61,217.55,,,,
1795,8.05,6.0,4.19,3.11,6.26,5.29,4.13,100.3,,,,
1796,9.74,6.03,4.34,2.79,5.39,4.56,2.52,117.27,44.25,,,
1797,6.73,4.16,3.61,2.21,3.79,3.1,2.45,124.24,38.38,,,
1798,6.56,4.04,3.69,2.42,3.64,3.42,2.24,124.48,23.38,,,
1799,7.84,4.56,4.13,3.23,4.73,5.14,2.96,279.94,38.0,,,
1800,12.86,7.11,6.92,4.44,7.86,7.43,6.38,374.67,43.5,,,
1801,14.84,9.87,8.69,4.49,7.92,7.84,4.73,322.4,49.0,,,
1802,8.22,5.38,4.55,2.47,4.55,4.17,2.52,91.09,38.12,,,
1803,7.15,4.62,3.26,2.61,4.57,3.87,2.99,171.17,50.17,,,
1804,7.25,4.65,3.72,2.94,4.72,4.46,2.86,108.3,34.25,,,
1805,10.49,6.78,5.94,3.44,5.42,5.29,2.24,108.54,53.62,,,
1806,9.56,6.04,5.1,3.34,5.54,5.26,2.38,155.82,37.25,,,
1807,9.47,6.26,5.24,3.44,7.38,5.56,2.8,116.19,55.92,,,
1808,9.39,7.23,5.26,4.04,10.9,6.66,3.36,95.43,42.38,,,
1809,11.64,7.09,5.7,3.81,9.8,7.12,3.22,90.2,39.75,,,
1810,13.05,7.43,5.83,3.47,6.89,6.75,3.15,124.85,57.67,,,
1811,11.73,5.66,5.12,3.34,5.81,5.83,3.01,173.13,70.75,,,
1812,14.38,9.18,8.09,5.39,8.31,8.49,4.24,150.15,56.42,,,
1813,13.46,9.59,7.09,4.67,9.91,9.74,5.2,262.79,40.83,,,
1814,9.68,5.97,4.53,3.11,6.54,5.75,3.3,198.55,42.33,,,
1815,8.14,5.08,3.67,2.86,4.97,4.57,3.3,186.35,35.75,,,
1816,8.89,5.09,4.11,3.29,4.44,3.95,3.48,220.02,44.04,,,
1817,12.16,6.95,5.98,3.93,6.33,5.77,3.97,340.82,39.12,,,
1818,10.82,6.84,6.53,3.93,5.91,7.24,4.04,305.13,50.5,,,
1819,8.84,6.98,5.55,3.42,6.68,7.42,4.18,91.43,58.17,,,
1820,8.26,5.2,4.1,2.93,5.11,5.41,3.57,78.62,31.0,,,
1821,7.21,4.1,3.15,2.36,3.84,4.55,3.46,61.07,33.5,,,
1822,5.63,2.83,2.65,2.19,3.14,3.71,4.47,73.26,40.33,,,
1823,6.23,3.98,3.82,2.78,3.73,3.66,2.96,138.52,44.75,,,
1824,7.57,5.18,4.41,3.01,4.37,4.39,3.59,156.85,51.8,,,
1825,8.49,5.28,4.85,3.11,5.69,5.31,3.84,370.1,47.5,,,
1826,7.19,5.14,4.16,3.23,5.69,5.73,4.2,152.04,42.75,,,
1827,6.73,5.02,4.56,3.42,6.04,6.78,3.97,97.4,41.8,,,
1828,8.26,4.27,3.98,2.73,4.69,5.15,2.77,93.87,33.12,,,
1829,7.51,4.35,3.94,2.76,4.22,4.84,3.43,141.86,35.38,,,
1830,8.22,4.48,3.95,2.96,4.52,4.75,3.79,236.16,47.5,,,
1831,7.71,5.0,4.61,3.07,4.86,4.92,3.59,117.3,34.0,,,
1832,7.0,4.32,4.01,2.48,4.54,4.57,2.39,146.7,37.75,,,
1833,6.53,4.11,3.33,2.23,4.3,4.12,3.3,30.5,,,,
1834,5.35,4.09,3.52,2.54,4.47,4.26,4.59,105.05,31.25,,,
1835,4.77,3.79,3.63,2.67,4.34,4.51,3.72,117.3,39.5,,,
1836,5.88,4.17,3.98,2.8,4.36,4.56,3.51,32.0,,,,
1837,6.77,4.34,3.68,2.8,4.6,5.11,4.8,91.58,39.0,,,
1838,7.83,4.39,3.81,2.72,4.5,4.5,3.11,78.1,42.0,,,
1839,8.57,5.25,4.79,3.14,4.72,4.89,5.98,78.1,39.5,,,
1840,8.04,4.62,4.42,3.11,5.28,5.39,4.64,62.18,38.0,,,
1841,7.8,4.59,3.98,2.72,4.81,5.08,4.06,168.75,41.25,,,
1842,6.94,4.12,3.33,2.33,4.19,4.53,4.2,102.6,37.75,,,
1843,6.07,3.82,3.58,2.22,3.75,3.58,2.7,49.5,,,,
1844,6.21,4.24,4.08,2.5,3.75,4.13,4.0,165.69,31.25,,,
1845,6.16,4.06,3.84,2.73,4.31,4.69,3.47,147.92,37.25,,,
1846,6.63,4.38,3.96,2.87,4.58,4.8,5.11,86.68,32.5,,,
1847,8.46,6.12,5.36,3.48,5.45,6.01,10.18,68.92,32.25,,,
1848,6.12,3.8,3.82,2.49,5.09,4.76,4.06,91.58,27.0,,,
1849,5.37,3.21,3.36,2.12,4.14,4.04,7.3,220.2,31.5,,,
1850,4.88,2.91,2.91,1.99,3.36,3.68,4.72,152.82,24.75,,,
1851,4.67,3.08,2.25,3.19,3.58,5.11,270.42,25.25,,,,
1852,4.94,3.55,2.31,3.58,3.8,5.11,130.78,26.0,,,,
1853,6.46,4.12,2.55,4.51,3.77,4.2,315.74,29.5,,,,
1854,8.78,4.48,3.38,5.46,5.62,4.12,206.92,35.5,,,,
1855,9.05,4.32,3.32,5.39,5.54,5.27,179.44,28.25,,,,
1856,8.39,5.1,3.05,4.97,5.15,4.66,108.59,26.0,,,,
1857,6.83,5.23,3.03,4.71,5.23,5.9,109.52,27.25,,,,
1858,5.36,4.31,2.97,4.82,5.04,5.04,94.17,27.5,,,,
1859,5.3,4.16,2.81,4.53,5.05,4.87,92.37,26.5,,,,
1860,6.46,4.55,2.96,4.69,5.16,6.27,160.25,32.25,,,,
1861,6.71,4.49,2.88,4.28,5.01,6.99,166.0,34.0,,,,
1862,6.72,4.36,2.74,4.35,4.39,6.43,156.54,36.0,,,,
1863,5.43,4.21,2.57,4.1,4.38,5.55,131.91,31.0,,,,
1864,4.87,3.72,2.44,4.11,4.61,4.76,162.11,27.5,,,,
1865,5.07,3.7,2.65,4.29,5.02,5.05,138.42,30.0,,,,
1866,6.05,4.65,2.98,4.39,5.48,5.68,164.76,,,,,
1867,7.81,4.97,3.15,4.8,5.34,7.08,136.43,,,,,
1868,7.73,5.34,3.41,5.18,5.81,6.48,74.05,,,,,
1869,5.84,4.9,3.15,4.53,5.34,6.12,84.74,,,,,
1870,5.69,4.3,2.77,4.37,5.24,6.96,83.25,,,,,
1871,6.87,4.5,3.05,4.59,5.18,6.36,101.64,,,,,
1872,6.91,4.64,2.81,4.55,4.91,6.82,124.25,,,,,
1873,7.11,5.02,3.08,4.55,5.17,7.11,122.02,,,,,
1874,6.76,5.59,3.5,4.86,5.75,6.56,158.05,,,,,
1875,5.48,4.78,3.48,4.84,5.51,6.04,115.06,,,,,
1876,5.6,4.37,3.18,4.57,4.91,7.15,113.32,,,,,
1877,6.88,4.93,3.14,4.49,4.44,7.34,116.3,,,,,
1878,5.63,4.99,2.95,4.13,4.86,6.84,92.94,,,,,
1879,5.31,4.22,2.64,4.04,4.71,7.37,115.31,,,,,
1880,5.38,4.11,2.8,4.26,4.96,7.27,114.31,,,,,
1881,5.5,3.97,2.64,4.23,4.82,6.71,117.05,,,,,
1882,5.47,3.87,2.65,4.14,4.73,7.26,230.37,,,,,
1883,5.04,3.96,2.6,4.13,4.62,7.18,208.5,,,,,
1884,4.32,3.81,2.46,3.62,3.98,6.8,156.31,,,,,
1885,3.98,3.74,2.5,3.52,3.75,6.54,93.19,,,,,
1886,3.76,3.3,2.3,3.27,3.79,6.23,72.32,,,,,
1887,3.94,3.15,1.97,3.06,3.87,6.96,73.31,,,,,
1888,3.86,3.45,2.03,3.05,3.72,6.5,91.95,,,,,
1889,3.61,3.21,2.15,3.43,3.81,7.05,88.97,,,,,
1890,3.87,3.57,2.25,3.44,3.61,6.54,116.05,,,,,
1891,4.49,3.51,2.42,3.73,4.0,7.49,124.75,,,,,
1892,3.67,3.25,2.4,3.61,3.75,6.26,127.24,,,,,
1893,3.19,3.18,2.27,3.31,3.47,6.25,138.67,,,,,
1894,2.77,3.04,2.07,2.98,3.11,6.92,101.64,,,,,
1895,2.8,2.73,1.76,3.0,3.19,6.49,73.81,,,,,
1896,3.17,2.85,1.79,2.96,3.28,6.27,71.07,,,,,
1897,3.66,2.92,2.05,2.86,3.27,5.5,79.27,,,,,
1898,4.12,3.37,2.23,3.31,3.55,5.65,104.87,,,,,
1899,3.11,3.18,2.06,3.42,3.72,5.61,111.58,,,,,
1900,3.26,3.1,2.13,3.63,3.79,4.84,99.65,,,,,
1901,3.24,3.13,2.23,3.83,4.1,5.14,98.91,,,,,
1902,3.41,3.19,2.45,3.81,4.13,4.94,103.63,,,,,
1903,3.24,2.82,2.08,4.1,6.5,,,,,,,
1904,3.44,2.78,1.98,3.77,5.58,,,,,,,
1905,3.6,3.02,2.1,4.11,8.77,,,,,,,
1906,3.43,3.0,2.22,4.44,7.97,,,,,,,
1907,3.71,3.12,2.28,3.19,6.57,,,,,,,
1908,3.88,3.21,2.16,4.35,6.39,,,,,,,
1909,4.48,3.33,2.29,4.24,7.52,,,,,,,
1910,3.84,2.87,2.1,4.46,8.08,,,,,,,
1911,3.84,3.38,2.28,4.44,9.15,,,,,,,
1912,4.21,3.81,2.61,4.56,6.85,,,,,,,
1913,3.84,3.38,2.31,4.49,6.27,,,,,,,
1914,4.23,3.37,2.54,4.24,10.54,,,,,,,
