year,grain_price,country,region,dataset,century
1841,33.24308333333334,UK,England_1841_1929,england_grain_1,1800
1842,29.506833333333333,UK,England_1841_1929,england_grain_1,1800
1843,28.194416666666665,UK,England_1841_1929,england_grain_1,1800
1844,32.48616666666667,UK,England_1841_1929,england_grain_1,1800
1845,33.3055,UK,England_1841_1929,england_grain_1,1800
1846,30.22216666666667,UK,England_1841_1929,england_grain_1,1800
1847,42.68069166666667,UK,England_1841_1929,england_grain_1,1800
1848,31.416666666666668,UK,England_1841_1929,england_grain_1,1800
1849,29.492999999999995,UK,England_1841_1929,england_grain_1,1800
1850,24.625,UK,England_1841_1929,england_grain_1,1800
1851,24.11108333333333,UK,England_1841_1929,england_grain_1,1800
1852,27.59041666666667,UK,England_1841_1929,england_grain_1,1800
1853,29.979166666666668,UK,England_1841_1929,england_grain_1,1800
1854,38.03466666666666,UK,England_1841_1929,england_grain_1,1800
1855,32.68741666666667,UK,England_1841_1929,england_grain_1,1800
1856,39.00008333333334,UK,England_1841_1929,england_grain_1,1800
1857,43.47933333333334,UK,England_1841_1929,england_grain_1,1800
1858,36.84033333333334,UK,England_1841_1929,england_grain_1,1800
1859,39.00008333333334,UK,England_1841_1929,england_grain_1,1800
1860,35.257000000000005,UK,England_1841_1929,england_grain_1,1800
1861,37.01391666666667,UK,England_1841_1929,england_grain_1,1800
1862,35.618,UK,England_1841_1929,england_grain_1,1800
1863,34.34033333333333,UK,England_1841_1929,england_grain_1,1800
1864,31.298666666666673,UK,England_1841_1929,england_grain_1,1800
1865,29.138833333333338,UK,England_1841_1929,england_grain_1,1800
1866,33.84716666666666,UK,England_1841_1929,england_grain_1,1800
1867,40.479166666666664,UK,England_1841_1929,england_grain_1,1800
1868,41.514,UK,England_1841_1929,england_grain_1,1800
1869,42.083333333333336,UK,England_1841_1929,england_grain_1,1800
1870,35.02783333333334,UK,England_1841_1929,england_grain_1,1800
1871,36.0555,UK,England_1841_1929,england_grain_1,1800
1872,35.9375,UK,England_1841_1929,england_grain_1,1800
1873,39.37483333333333,UK,England_1841_1929,england_grain_1,1800
1874,45.26408333333334,UK,England_1841_1929,england_grain_1,1800
1875,40.63191666666666,UK,England_1841_1929,england_grain_1,1800
1876,34.3265,UK,England_1841_1929,england_grain_1,1800
1877,38.430499999999995,UK,England_1841_1929,england_grain_1,1800
1878,41.0765,UK,England_1841_1929,england_grain_1,1800
1879,34.291666666666664,UK,England_1841_1929,england_grain_1,1800
1880,34.95133333333333,UK,England_1841_1929,england_grain_1,1800
1881,31.88891666666667,UK,England_1841_1929,england_grain_1,1800
1882,30.972166666666663,UK,England_1841_1929,england_grain_1,1800
1883,54.8125,UK,England_1841_1929,england_grain_1,1800
1884,31.12491666666666,UK,England_1841_1929,england_grain_1,1800
1885,30.638749999999998,UK,England_1841_1929,england_grain_1,1800
1886,27.604083333333325,UK,England_1841_1929,england_grain_1,1800
1887,24.784833333333335,UK,England_1841_1929,england_grain_1,1800
1888,27.993083333333335,UK,England_1841_1929,england_grain_1,1800
1889,25.346999999999998,UK,England_1841_1929,england_grain_1,1800
1890,28.881916666666665,UK,England_1841_1929,england_grain_1,1800
1891,28.034833333333335,UK,England_1841_1929,england_grain_1,1800
1892,27.21533333333333,UK,England_1841_1929,england_grain_1,1800
1893,24.86108333333333,UK,England_1841_1929,england_grain_1,1800
1894,26.430583333333328,UK,England_1841_1929,england_grain_1,1800
1895,22.277833333333334,UK,England_1841_1929,england_grain_1,1800
1896,22.38891666666667,UK,England_1841_1929,england_grain_1,1800
1897,23.222166666666663,UK,England_1841_1929,england_grain_1,1800
1898,26.92358333333333,UK,England_1841_1929,england_grain_1,1800
1899,26.055583333333328,UK,England_1841_1929,england_grain_1,1800
1900,25.194416666666665,UK,England_1841_1929,england_grain_1,1900
1901,25.041666666666668,UK,England_1841_1929,england_grain_1,1900
1902,25.923666666666673,UK,England_1841_1929,england_grain_1,1900
1903,23.347250000000003,UK,England_1841_1929,england_grain_1,1900
1904,21.874916666666667,UK,England_1841_1929,england_grain_1,1900
1905,24.500083333333333,UK,England_1841_1929,england_grain_1,1900
1906,24.17358333333333,UK,England_1841_1929,england_grain_1,1900
1907,24.409666666666663,UK,England_1841_1929,england_grain_1,1900
1908,25.708333333333332,UK,England_1841_1929,england_grain_1,1900
1909,26.944416666666665,UK,England_1841_1929,england_grain_1,1900
1910,23.73608333333333,UK,England_1841_1929,england_grain_1,1900
1911,24.79858333333333,UK,England_1841_1929,england_grain_1,1900
1912,31.222166666666666,UK,England_1841_1929,england_grain_1,1900
1913,27.833333333333332,UK,England_1841_1929,england_grain_1,1900
1914,26.833416666666665,UK,England_1841_1929,england_grain_1,1900
1915,32.354166666666664,UK,England_1841_1929,england_grain_1,1900
1916,48.80575000000001,UK,England_1841_1929,england_grain_1,1900
1917,64.47925000000001,UK,England_1841_1929,england_grain_1,1900
1918,56.65966666666666,UK,England_1841_1929,england_grain_1,1900
1919,63.13191666666666,UK,England_1841_1929,england_grain_1,1900
1920,94.54858333333334,UK,England_1841_1929,england_grain_1,1900
1921,62.59708333333332,UK,England_1841_1929,england_grain_1,1900
1922,45.29858333333333,UK,England_1841_1929,england_grain_1,1900
1923,33.48608333333333,UK,England_1841_1929,england_grain_1,1900
1924,40.03466666666666,UK,England_1841_1929,england_grain_1,1900
1925,46.86191666666667,UK,England_1841_1929,england_grain_1,1900
1926,37.27333333333333,UK,England_1841_1929,england_grain_1,1900
1927,40.89083333333333,UK,England_1841_1929,england_grain_1,1900
1928,41.139166666666675,UK,England_1841_1929,england_grain_1,1900
1929,37.15083333333334,UK,England_1841_1929,england_grain_1,1900
1929,9.861083333333333,UK,England_1929_1955,england_grain_2,1900
1930,8.944416666666667,UK,England_1929_1955,england_grain_2,1900
1931,6.013916666666667,UK,England_1929_1955,england_grain_2,1900
1932,6.020833333333333,UK,England_1929_1955,england_grain_2,1900
1933,5.576333333333333,UK,England_1929_1955,england_grain_2,1900
1934,4.708166666666666,UK,England_1929_1955,england_grain_2,1900
1935,4.986,UK,England_1929_1955,england_grain_2,1900
1936,6.29175,UK,England_1929_1955,england_grain_2,1900
1939,4.52075,UK,England_1929_1955,england_grain_2,1900
1940,7.187333333333332,UK,England_1929_1955,england_grain_2,1900
1941,14.610999999999999,UK,England_1929_1955,england_grain_2,1900
1942,14.604,UK,England_1929_1955,england_grain_2,1900
1943,15.381833333333333,UK,England_1929_1955,england_grain_2,1900
1944,15.333333333333334,UK,England_1929_1955,england_grain_2,1900
1945,14.416666666666666,UK,England_1929_1955,england_grain_2,1900
1946,14.826416666666667,UK,England_1929_1955,england_grain_2,1900
1947,16.687416666666667,UK,England_1929_1955,england_grain_2,1900
1948,20.96525,UK,England_1929_1955,england_grain_2,1900
1949,23.270916666666665,UK,England_1929_1955,england_grain_2,1900
1950,25.86108333333333,UK,England_1929_1955,england_grain_2,1900
1953,28.882000000000005,UK,England_1929_1955,england_grain_2,1900
1954,32.03475,UK,England_1929_1955,england_grain_2,1900
1955,22.493166666666667,UK,England_1929_1955,england_grain_2,1900
1657,41.83800000000001,UK,Winchester,winchester,1600
1658,46.8,UK,Winchester,winchester,1600
1659,46.21,UK,Winchester,winchester,1600
1660,43.25,UK,Winchester,winchester,1600
1661,53.33,UK,Winchester,winchester,1600
1662,33.528000000000006,UK,Winchester,winchester,1600
1663,34.522000000000006,UK,Winchester,winchester,1600
1664,31.776,UK,Winchester,winchester,1600
1665,30.732,UK,Winchester,winchester,1600
1666,22.362000000000002,UK,Winchester,winchester,1600
1667,23.996000000000002,UK,Winchester,winchester,1600
1668,33.992000000000004,UK,Winchester,winchester,1600
1669,27.492,UK,Winchester,winchester,1600
1670,32.0,UK,Winchester,winchester,1600
1672,27.549999999999997,UK,Winchester,winchester,1600
1673,49.516000000000005,UK,Winchester,winchester,1600
1674,46.36,UK,Winchester,winchester,1600
1675,28.889999999999997,UK,Winchester,winchester,1600
1676,28.29,UK,Winchester,winchester,1600
1677,46.386,UK,Winchester,winchester,1600
1678,45.330000000000005,UK,Winchester,winchester,1600
1679,34.808,UK,Winchester,winchester,1600
1680,37.5,UK,Winchester,winchester,1600
1681,33.028,UK,Winchester,winchester,1600
1682,34.192,UK,Winchester,winchester,1600
1683,32.366,UK,Winchester,winchester,1600
1684,43.206,UK,Winchester,winchester,1600
1685,26.212,UK,Winchester,winchester,1600
1686,31.032,UK,Winchester,winchester,1600
1687,22.735999999999997,UK,Winchester,winchester,1600
1688,18.95,UK,Winchester,winchester,1600
1689,29.3,UK,Winchester,winchester,1600
1690,23.402500000000003,UK,Winchester,winchester,1600
1691,37.178000000000004,UK,Winchester,winchester,1600
1692,45.91799999999999,UK,Winchester,winchester,1600
1693,57.67,UK,Winchester,winchester,1600
1694,34.588,UK,Winchester,winchester,1600
1695,53.976,UK,Winchester,winchester,1600
1696,49.236000000000004,UK,Winchester,winchester,1600
1697,56.736000000000004,UK,Winchester,winchester,1600
1698,55.548,UK,Winchester,winchester,1600
1699,37.528000000000006,UK,Winchester,winchester,1600
1700,32.586,UK,Winchester,winchester,1700
1701,24.866,UK,Winchester,winchester,1700
1702,26.520000000000003,UK,Winchester,winchester,1700
1703,38.486000000000004,UK,Winchester,winchester,1700
1704,26.518,UK,Winchester,winchester,1700
1705,22.292,UK,Winchester,winchester,1700
1706,23.032,UK,Winchester,winchester,1700
1707,26.910000000000004,UK,Winchester,winchester,1700
1708,48.358000000000004,UK,Winchester,winchester,1700
1709,69.52199999999999,UK,Winchester,winchester,1700
1710,44.98199999999999,UK,Winchester,winchester,1700
1711,40.81,UK,Winchester,winchester,1700
1712,35.257999999999996,UK,Winchester,winchester,1700
1713,48.886,UK,Winchester,winchester,1700
1714,31.110000000000003,UK,Winchester,winchester,1700
1715,43.556000000000004,UK,Winchester,winchester,1700
1716,38.066,UK,Winchester,winchester,1700
1717,34.96,UK,Winchester,winchester,1700
1718,25.038,UK,Winchester,winchester,1700
1719,31.548000000000002,UK,Winchester,winchester,1700
1720,31.552,UK,Winchester,winchester,1700
1721,25.810000000000002,UK,Winchester,winchester,1700
1722,28.768,UK,Winchester,winchester,1700
1723,28.092000000000002,UK,Winchester,winchester,1700
1724,36.146,UK,Winchester,winchester,1700
1725,38.07,UK,Winchester,winchester,1700
1726,29.548000000000002,UK,Winchester,winchester,1700
1727,44.326,UK,Winchester,winchester,1700
1728,44.22,UK,Winchester,winchester,1700
1729,30.215999999999998,UK,Winchester,winchester,1700
1730,26.958,UK,Winchester,winchester,1700
1731,22.737999999999996,UK,Winchester,winchester,1700
1732,22.938,UK,Winchester,winchester,1700
1733,24.68,UK,Winchester,winchester,1700
1734,31.1,UK,Winchester,winchester,1700
1735,33.186,UK,Winchester,winchester,1700
1736,26.912,UK,Winchester,winchester,1700
1737,26.130000000000003,UK,Winchester,winchester,1700
1738,26.496000000000002,UK,Winchester,winchester,1700
1739,36.391999999999996,UK,Winchester,winchester,1700
1740,50.196000000000005,UK,Winchester,winchester,1700
1741,26.636000000000003,UK,Winchester,winchester,1700
1742,20.916,UK,Winchester,winchester,1700
1743,18.548,UK,Winchester,winchester,1700
1744,18.548,UK,Winchester,winchester,1700
1745,26.22,UK,Winchester,winchester,1700
1746,28.029999999999994,UK,Winchester,winchester,1700
1747,26.98,UK,Winchester,winchester,1700
1748,28.582000000000004,UK,Winchester,winchester,1700
1749,26.776,UK,Winchester,winchester,1700
1750,27.610000000000003,UK,Winchester,winchester,1700
1751,34.932,UK,Winchester,winchester,1700
1752,34.586,UK,Winchester,winchester,1700
1753,33.188,UK,Winchester,winchester,1700
1754,25.938,UK,Winchester,winchester,1700
1755,30.4,UK,Winchester,winchester,1700
1756,49.92,UK,Winchester,winchester,1700
1757,42.116,UK,Winchester,winchester,1700
1758,31.236,UK,Winchester,winchester,1700
1759,29.002,UK,Winchester,winchester,1700
1760,28.588,UK,Winchester,winchester,1700
1761,28.588,UK,Winchester,winchester,1700
1762,30.540000000000003,UK,Winchester,winchester,1700
1763,37.932,UK,Winchester,winchester,1700
1764,39.116,UK,Winchester,winchester,1700
1765,38.35199999999999,UK,Winchester,winchester,1700
1766,51.596000000000004,UK,Winchester,winchester,1700
1767,51.45799999999999,UK,Winchester,winchester,1700
1768,40.718,UK,Winchester,winchester,1700
1769,35.0,UK,Winchester,winchester,1700
1770,43.36800000000001,UK,Winchester,winchester,1700
1771,49.786,UK,Winchester,winchester,1700
1772,55.220000000000006,UK,Winchester,winchester,1700
1773,49.366,UK,Winchester,winchester,1700
1774,56.339999999999996,UK,Winchester,winchester,1700
1775,37.368,UK,Winchester,winchester,1700
1776,40.788,UK,Winchester,winchester,1700
1777,46.538,UK,Winchester,winchester,1700
1778,34.616,UK,Winchester,winchester,1700
1779,34.34,UK,Winchester,winchester,1700
1780,49.782,UK,Winchester,winchester,1700
1781,48.071999999999996,UK,Winchester,winchester,1700
1782,51.730000000000004,UK,Winchester,winchester,1700
1783,48.586,UK,Winchester,winchester,1700
1784,44.446000000000005,UK,Winchester,winchester,1700
1785,39.556,UK,Winchester,winchester,1700
1786,39.42,UK,Winchester,winchester,1700
1787,46.758,UK,Winchester,winchester,1700
1788,48.132,UK,Winchester,winchester,1700
1789,56.482000000000006,UK,Winchester,winchester,1700
1790,52.331999999999994,UK,Winchester,winchester,1700
1791,42.22,UK,Winchester,winchester,1700
1792,51.848,UK,Winchester,winchester,1700
1793,51.168000000000006,UK,Winchester,winchester,1700
1794,63.081999999999994,UK,Winchester,winchester,1700
1795,99.832,UK,Winchester,winchester,1700
1796,57.25,UK,Winchester,winchester,1700
1797,64.75,UK,Winchester,winchester,1700
1798,56.831999999999994,UK,Winchester,winchester,1700
1799,112.0,UK,Winchester,winchester,1700
1800,148.5,UK,Winchester,winchester,1800
1801,83.75,UK,Winchester,winchester,1800
1802,61.75,UK,Winchester,winchester,1800
1803,57.04200000000001,UK,Winchester,winchester,1800
1804,100.5,UK,Winchester,winchester,1800
1805,82.5,UK,Winchester,winchester,1800
1806,86.208,UK,Winchester,winchester,1800
1807,76.5,UK,Winchester,winchester,1800
1808,96.0,UK,Winchester,winchester,1800
1809,119.0,UK,Winchester,winchester,1800
1810,104.5,UK,Winchester,winchester,1800
1811,134.5,UK,Winchester,winchester,1800
1812,128.25,UK,Winchester,winchester,1800
1813,84.082,UK,Winchester,winchester,1800
1814,75.0,UK,Winchester,winchester,1800
1815,69.0,UK,Winchester,winchester,1800
1816,122.0,UK,Winchester,winchester,1800
1817,96.0,UK,Winchester,winchester,1800
